2021-11-15 20:24:05 - INFO  - o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$86318451] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-11-15 20:24:06 - INFO  - o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2021-11-15 20:24:06 - INFO  - o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-11-15 20:24:06 - INFO  - o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.17]
2021-11-15 20:24:06 - INFO  - o.a.c.c.C.[.[localhost].[/SpringMVC] - Initializing Spring embedded WebApplicationContext
2021-11-15 20:24:06 - INFO  - o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1263 ms
2021-11-15 20:24:06 - INFO  - com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-11-15 20:24:06 - INFO  - com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-11-15 20:24:06 - INFO  - o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2021-11-15 20:24:06 - INFO  - org.hibernate.Version - HHH000412: Hibernate Core {5.3.9.Final}
2021-11-15 20:24:06 - INFO  - org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2021-11-15 20:24:06 - INFO  - o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2021-11-15 20:24:06 - INFO  - org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2021-11-15 20:24:07 - INFO  - o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-11-15 20:24:07 - INFO  - o.h.h.i.QueryTranslatorFactoryInitiator - HHH000397: Using ASTQueryTranslatorFactory
2021-11-15 20:24:08 - INFO  - o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-11-15 20:24:08 - WARN  - o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-11-15 20:24:08 - INFO  - o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path '/SpringMVC'
2021-11-15 20:24:08 - INFO  - t.e.s.TimesheetSpringBootCoreDataJpaMvcRest1Application - Started TimesheetSpringBootCoreDataJpaMvcRest1Application in 3.959 seconds (JVM running for 5.813)
2021-11-15 20:51:04 - INFO  - t.e.s.TimesheetSpringBootCoreDataJpaMvcRest1Application - Starting TimesheetSpringBootCoreDataJpaMvcRest1Application on DESKTOP-AJTRO6P with PID 11048 (C:\Users\WIKI\Desktop\Devops\target\classes started by WIKI in C:\Users\WIKI\Desktop\Devops)
2021-11-15 20:51:04 - INFO  - t.e.s.TimesheetSpringBootCoreDataJpaMvcRest1Application - No active profile set, falling back to default profiles: default
2021-11-15 20:51:04 - INFO  - o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2021-11-15 20:51:04 - INFO  - o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 51ms. Found 6 repository interfaces.
2021-11-15 20:51:04 - INFO  - o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$dac6e1e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-11-15 20:51:04 - INFO  - o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
